year_month,like_count,video_play_count,video_danmaku,video_comment,factor_score
2010-01,79,12908,107,240,-0.9430524924885698
2010-02,16,3343,42,25,-0.9504622604730194
2010-03,9,2980,14,10,-0.9510450512531211
2015-12,2964,242301,3691,202,-0.8404825376140573
2016-01,217,32268,502,33,-0.9378261116628278
2017-02,17084,1366173,12998,864,-0.37546723946751537
2017-09,12015,1333203,8911,524,-0.4356874428146542
2018-06,6117,811887,7888,943,-0.6150763977571518
2018-09,18364,1133757,8973,713,-0.4703754181157231
2018-10,178,32873,110,16,-0.9405837409591699
2018-11,48860,2359468,52160,4208,0.3506627166638076
2018-12,3383,360946,1819,163,-0.8153483268084499
2019-01,71,6103,17,11,-0.9498329243670462
2019-10,216,29486,13,25,-0.9419423517349683
2019-11,57068,1979987,8589,3100,-0.033975719485074656
2019-12,199,10003,16,21,-0.9480134583058856
2020-01,94,7028,3,9,-0.9495934894091982
2020-02,873,74964,702,153,-0.9190183409526591
2020-04,13792,174371,802,1135,-0.8245659468073381
2020-06,20984,660709,784,336,-0.6647198014934733
2020-07,299,22813,90,15,-0.9433763796672917
2020-08,53217,1236085,9611,2090,-0.28669521950369925
2020-10,114,22872,18,38,-0.9440625648033047
2020-11,17839,531968,967,430,-0.7124034845317628
2021-01,190,5504,6,24,-0.9494314015212558
2021-02,546,84018,106,118,-0.9218371965754851
2021-03,33682,1136243,8399,4068,-0.3588951101643906
2021-04,144,12910,14,4,-0.9476365005044647
2021-05,246451,2914805,16364,24328,1.353336614926755
2021-06,129913,2175266,17219,6720,0.4040520637096701
2021-07,76098,891664,6117,4667,-0.28701057837679333
2021-08,85400,1024991,1479,7750,-0.18765063831951992
2021-09,166573,4188011,24513,5259,1.1700722128748735
2021-10,456317,7996563,29459,11044,3.498061663651645
2021-11,440360,4590742,839,2049,2.056398389350742
2021-12,154220,2328498,2844,2189,0.3644282769182315
2022-01,122497,1247403,8900,1825,-0.04665779233535971
2022-02,71253,1139638,5213,2629,-0.2705939906567713
2022-03,31524,676584,400,452,-0.6228356998175455
2022-04,150,6930,15,0,-0.949509214394566
2022-05,6989,1128309,7268,665,-0.5241406171846302
2022-06,119518,2269683,5969,3072,0.2590234399571016
2022-07,245323,1992703,5244,2981,0.6145048059973661
2022-08,32523,745165,1505,1730,-0.5684054261477798
2022-09,344409,3771577,6684,6105,1.5752226986108
2022-10,80339,1758587,1532,2326,-0.07795956725980974
2022-11,158827,2239331,17636,6017,0.5163333993022986
2022-12,37730,979700,1642,1752,-0.47693394017812407
2023-01,244020,3679508,9234,10381,1.2835816381141134
2023-02,106524,5006566,5623,6758,1.1136514401731545
2023-03,72597,1084369,8545,2806,-0.2583095162734488
2023-04,335112,4754261,9698,5925,1.858760732119429
2023-05,151814,2710284,2659,7583,0.5679702659314887
2023-06,407457,4742247,38783,33215,2.785544743024591
2023-07,167449,2313041,6681,13902,0.6406689980212034
2023-08,98384,3002778,1953,5722,0.4300194704261166
2023-09,104783,2631362,6818,4168,0.34236631036258364
2023-10,132782,3613966,12174,5209,0.7950121557306089
2023-11,145932,4130116,12938,7738,1.049645316652132
2023-12,87534,1305094,4794,3272,-0.15338662711298182
2024-01,134706,1872925,1533,4085,0.181413736416696
2024-02,232710,2312995,3545,4149,0.6777582032918978
2024-03,187067,2138335,4642,6388,0.5094244675463765
2024-04,125945,3460323,4495,5760,0.6846444649443139
2024-05,172919,1701696,2519,3523,0.2608873508579874
2024-06,44685,1209007,1545,3658,-0.3486450582770955
