year_month,like_count,video_play_count,video_danmaku,video_comment,cluster
2010-01,79,12908,107,240,0
2010-02,16,3343,42,25,0
2010-03,9,2980,14,10,0
2015-12,2964,242301,3691,202,0
2016-01,217,32268,502,33,0
2017-02,17084,1366173,12998,864,3
2017-09,12015,1333203,8911,524,3
2018-06,6117,811887,7888,943,3
2018-09,18364,1133757,8973,713,3
2018-10,178,32873,110,16,0
2018-11,48860,2359468,52160,4208,4
2018-12,3383,360946,1819,163,0
2019-01,71,6103,17,11,0
2019-10,216,29486,13,25,0
2019-11,57068,1979987,8589,3100,3
2019-12,199,10003,16,21,0
2020-01,94,7028,3,9,0
2020-02,873,74964,702,153,0
2020-04,13792,174371,802,1135,0
2020-06,20984,660709,784,336,0
2020-07,299,22813,90,15,0
2020-08,53217,1236085,9611,2090,3
2020-10,114,22872,18,38,0
2020-11,17839,531968,967,430,0
2021-01,190,5504,6,24,0
2021-02,546,84018,106,118,0
2021-03,33682,1136243,8399,4068,3
2021-04,144,12910,14,4,0
2021-05,246451,2914805,16364,24328,6
2021-06,129913,2175266,17219,6720,9
2021-07,76098,891664,6117,4667,3
2021-08,85400,1024991,1479,7750,3
2021-09,166573,4188011,24513,5259,8
2021-10,456317,7996563,29459,11044,5
2021-11,440360,4590742,839,2049,7
2021-12,154220,2328498,2844,2189,1
2022-01,122497,1247403,8900,1825,3
2022-02,71253,1139638,5213,2629,3
2022-03,31524,676584,400,452,0
2022-04,150,6930,15,0,0
2022-05,6989,1128309,7268,665,3
2022-06,119518,2269683,5969,3072,1
2022-07,245323,1992703,5244,2981,1
2022-08,32523,745165,1505,1730,0
2022-09,344409,3771577,6684,6105,7
2022-10,80339,1758587,1532,2326,3
2022-11,158827,2239331,17636,6017,9
2022-12,37730,979700,1642,1752,0
2023-01,244020,3679508,9234,10381,9
2023-02,106524,5006566,5623,6758,9
2023-03,72597,1084369,8545,2806,3
2023-04,335112,4754261,9698,5925,7
2023-05,151814,2710284,2659,7583,1
2023-06,407457,4742247,38783,33215,2
2023-07,167449,2313041,6681,13902,9
2023-08,98384,3002778,1953,5722,1
2023-09,104783,2631362,6818,4168,1
2023-10,132782,3613966,12174,5209,9
2023-11,145932,4130116,12938,7738,9
2023-12,87534,1305094,4794,3272,3
2024-01,134706,1872925,1533,4085,1
2024-02,232710,2312995,3545,4149,1
2024-03,187067,2138335,4642,6388,1
2024-04,125945,3460323,4495,5760,9
2024-05,172919,1701696,2519,3523,1
2024-06,44685,1209007,1545,3658,3
